transaction_id,customer_id,amount,payment_method,failure_reason,customer_lifetime_value,successful_payments,failed_payments,previous_recovery_rate,hour_of_day,days_since_last_payment,subscription_status,checkout_abandoned,retry_count,recovered,recovery_probability,expected_recovery,priority
TXN_4019,CUST_2229,48237.81,Wallet,insufficient_funds,175235.77,4,3,0.88,6,17,active,0,2,1,0.8464813481747878,40832.40644179926,HIGH
TXN_7532,CUST_1146,43036.49,UPI,network_error,163430.2,27,2,0.77,8,58,active,1,2,1,0.9420384337980241,40542.02763576432,HIGH
TXN_5247,CUST_1987,45660.35,UPI,network_error,16623.73,13,7,0.83,4,88,active,0,1,1,0.8878083089999091,40537.638121844,HIGH
TXN_8483,CUST_2971,48068.67,NetBanking,network_error,90273.85,11,3,0.53,2,7,active,0,3,1,0.8427075508159622,40507.83116668071,HIGH
TXN_9094,CUST_1292,49447.11,Card,network_error,174900.76,19,1,0.63,15,82,active,0,1,0,0.8187506379151545,40484.85285556081,HIGH
TXN_7233,CUST_1826,46678.49,Wallet,network_error,11799.68,19,0,0.15,10,34,active,1,1,1,0.8671369756200229,40476.64464510948,HIGH
TXN_2263,CUST_1380,47660.92,Wallet,insufficient_funds,103830.47,23,0,0.82,23,46,active,1,0,1,0.8477625337814508,40405.142301555024,HIGH
TXN_5813,CUST_2660,45442.22,NetBanking,network_error,65199.8,14,0,0.97,16,85,not_applicable,0,4,1,0.8881946578673332,40361.53704563209,HIGH
TXN_2922,CUST_1146,47385.36,Wallet,network_error,93309.18,11,4,0.06,10,13,active,0,2,1,0.8516723766736303,40356.80217073557,HIGH
TXN_1724,CUST_2614,46507.27,NetBanking,network_error,77329.91,27,2,0.49,12,46,active,1,1,0,0.8658224625352123,40267.03903719,HIGH
TXN_8727,CUST_1406,49760.72,UPI,authentication_failed,40366.32,20,7,0.81,7,16,active,0,2,1,0.8069391195466169,40153.87158480573,HIGH
TXN_7636,CUST_1028,46577.06,UPI,network_error,128871.83,20,4,0.88,16,37,active,1,1,1,0.8619515934190844,40147.1710837763,HIGH
TXN_4937,CUST_1736,44490.86,Wallet,network_error,139575.89,2,2,0.9,23,77,active,1,1,1,0.9012981844046988,40099.53134060364,HIGH
TXN_338,CUST_1768,49383.71,Wallet,insufficient_funds,8981.73,20,1,0.87,12,65,not_applicable,1,2,1,0.8117573639813118,40087.590253217546,HIGH
TXN_9417,CUST_2996,49569.94,UPI,network_error,119048.27,12,4,0.1,9,70,inactive,1,3,1,0.8078351724001794,40044.34102576655,HIGH
TXN_2420,CUST_2165,47407.86,NetBanking,network_error,14681.44,24,0,0.51,4,83,active,1,3,1,0.843896837889033,40007.34314508597,HIGH
TXN_6685,CUST_2209,48574.8,Wallet,network_error,124060.7,16,3,0.38,7,35,inactive,0,0,1,0.8234931219109695,40001.013698200964,HIGH
TXN_3446,CUST_2627,49776.46,Wallet,network_error,3721.85,23,7,0.36,3,44,inactive,1,2,1,0.8033593126336172,39988.38269093474,HIGH
TXN_706,CUST_2167,46317.08,NetBanking,network_error,46506.68,22,5,0.63,2,74,active,1,1,1,0.8619252156855727,39921.85916892593,HIGH
TXN_9545,CUST_2363,45204.44,Wallet,insufficient_funds,125648.94,10,3,0.99,4,82,active,1,2,1,0.8830127016568825,39916.094691286446,HIGH
TXN_6362,CUST_2895,48623.09,NetBanking,bank_declined,47366.4,11,4,0.82,0,83,inactive,0,0,1,0.8193824121693701,39840.90477132838,HIGH
TXN_313,CUST_2321,46050.31,Wallet,bank_declined,123713.41,30,6,0.8,3,1,active,1,1,1,0.8640735342454121,39790.85411479684,HIGH
TXN_3754,CUST_1609,49220.63,Wallet,bank_declined,94240.84,18,1,0.87,22,50,active,1,1,1,0.8075465861895671,39747.95172659979,HIGH
TXN_1102,CUST_1655,49476.32,NetBanking,authentication_failed,137178.54,22,1,0.95,8,90,not_applicable,1,1,1,0.8025911986618045,39709.25897417501,HIGH
TXN_9311,CUST_1175,45801.57,NetBanking,bank_declined,25948.77,23,1,0.95,7,59,active,0,2,1,0.8666831612561954,39695.44947809692,HIGH
TXN_1787,CUST_2971,46686.3,Wallet,insufficient_funds,144271.95,15,4,0.75,17,11,active,0,0,1,0.850095215051726,39687.8002384694,HIGH
TXN_7523,CUST_1328,45131.76,NetBanking,network_error,40921.62,28,6,0.76,12,88,active,1,1,1,0.8793275189755987,39685.59854780217,HIGH
TXN_4289,CUST_2853,49858.42,Wallet,customer_abandoned,122630.52,24,5,0.79,17,14,inactive,0,2,1,0.7956168701748187,39668.200072261585,HIGH
TXN_5387,CUST_2253,45506.06,NetBanking,network_error,169441.8,24,2,0.71,3,39,not_applicable,1,0,1,0.8709154329313863,39631.92994590164,HIGH
TXN_6043,CUST_2282,48619.78,NetBanking,network_error,122068.21,14,2,0.52,8,6,inactive,1,2,1,0.8150264562988309,39626.40699942877,HIGH
TXN_8353,CUST_2422,46828.91,Wallet,network_error,186946.92,29,5,0.88,14,4,inactive,1,0,1,0.8461916218449528,39626.23130213133,HIGH
TXN_7893,CUST_2346,47718.16,UPI,network_error,60618.35,24,0,0.86,13,6,inactive,0,3,1,0.8288871511835352,39552.96970212012,HIGH
TXN_2309,CUST_1193,46403.92,Wallet,insufficient_funds,91365.22,24,1,0.73,16,55,active,1,2,1,0.851678116095593,39521.2031650506,HIGH
TXN_7428,CUST_1806,49887.45,Wallet,card_expired,30246.2,20,6,0.74,23,62,inactive,1,1,1,0.7909316336717578,39457.56232821813,HIGH
TXN_6439,CUST_2685,46803.1,NetBanking,card_expired,36041.11,29,1,0.79,5,6,active,1,4,1,0.8423615632068701,39425.13247892746,HIGH
TXN_6076,CUST_2234,48636.17,Card,customer_abandoned,126240.72,14,2,0.87,18,9,inactive,1,1,1,0.8098696063771423,39388.955853591775,HIGH
TXN_5154,CUST_2510,45266.59,UPI,network_error,126684.04,20,7,0.4,0,73,active,1,2,1,0.8701531055525565,39388.863866274296,HIGH
TXN_5445,CUST_1626,49198.02,Card,network_error,105089.12,16,5,0.18,22,63,active,0,1,1,0.7994062761775073,39329.20596350652,HIGH
TXN_9155,CUST_2141,49304.73,Card,network_error,177922.23,6,6,0.68,7,6,active,1,1,1,0.7975235662852265,39321.6841043302,HIGH
TXN_9894,CUST_2710,46032.17,Wallet,bank_declined,166577.38,21,1,0.71,7,3,active,0,0,1,0.8532383512627842,39276.4128358482,HIGH
TXN_4625,CUST_2745,49479.21,Card,network_error,24051.1,18,2,0.13,19,35,not_applicable,1,2,1,0.7931860672950058,39246.21999276373,HIGH
TXN_5411,CUST_1210,48510.68,Wallet,network_error,119860.91,21,2,0.24,19,35,active,0,3,1,0.8090155893535392,39245.89637014095,HIGH
TXN_3263,CUST_2768,49068.28,Card,insufficient_funds,104144.71,8,4,0.93,10,6,active,0,0,1,0.7987909500518058,39195.29799860802,HIGH
TXN_1698,CUST_2171,42543.95,Card,network_error,110558.51,28,0,0.83,15,85,not_applicable,1,2,1,0.9212805041206663,39194.91170328442,HIGH
TXN_8320,CUST_2395,45825.93,NetBanking,bank_declined,149911.92,30,4,0.94,15,14,active,0,0,1,0.8552412242188097,39192.22447416548,HIGH
TXN_5318,CUST_2058,48645.6,Card,network_error,107960.14,22,3,0.5,17,52,not_applicable,0,1,1,0.805241958856008,39171.47823372582,HIGH
TXN_9671,CUST_1653,46817.51,Card,network_error,199466.99,26,0,0.66,15,37,not_applicable,1,4,1,0.8350903899025726,39096.85268016759,HIGH
TXN_9099,CUST_1320,49002.62,Wallet,insufficient_funds,99050.86,20,4,0.74,6,11,inactive,0,0,1,0.7965028722984591,39030.72758014992,HIGH
TXN_9210,CUST_2559,48163.9,NetBanking,card_expired,121394.09,12,3,0.93,21,36,active,1,2,1,0.8102366815367268,39024.158505866755,HIGH
TXN_5138,CUST_2522,45330.12,UPI,network_error,183771.88,24,0,0.56,12,52,inactive,1,0,1,0.8599863456943424,38983.284248686025,HIGH
TXN_397,CUST_2621,49390.5,Wallet,customer_abandoned,28151.51,10,2,0.7,22,71,not_applicable,1,1,1,0.7892217911726405,38980.0588769123,HIGH
TXN_2859,CUST_2534,48973.05,Wallet,insufficient_funds,93416.18,23,8,0.82,9,2,active,1,3,1,0.7950867698202753,38937.824132746835,HIGH
TXN_3434,CUST_1300,47830.73,UPI,card_expired,158025.72,11,3,0.72,2,61,inactive,1,2,1,0.8133197125653464,38901.67557539069,HIGH
TXN_7510,CUST_2636,48563.14,Wallet,network_error,29966.89,17,3,0.04,2,39,not_applicable,1,2,1,0.8009908451635032,38898.63055239353,HIGH
TXN_1337,CUST_1517,48041.24,Wallet,network_error,107970.49,21,4,0.01,7,25,not_applicable,0,3,1,0.8093161732265809,38880.552513859744,HIGH
TXN_2559,CUST_1685,43039.52,NetBanking,network_error,95278.27,26,4,0.8,1,47,active,0,1,1,0.9029618702895593,38863.04547556489,HIGH
TXN_8315,CUST_2004,49428.37,Card,card_expired,69316.38,30,4,0.71,10,57,active,1,2,1,0.7860936877905205,38855.32965477433,HIGH
TXN_5823,CUST_1084,47432.58,Wallet,authentication_failed,84294.55,4,2,0.86,14,84,active,0,2,1,0.8190993568690754,38851.99577264097,HIGH
TXN_3852,CUST_2869,46620.88,Wallet,network_error,50863.69,17,3,0.73,8,56,active,0,3,1,0.832754757539361,38823.75962067164,HIGH
TXN_2569,CUST_1455,48965.17,Card,card_expired,18637.96,12,4,0.92,15,57,active,1,0,1,0.7919139226161042,38776.19984626438,HIGH
TXN_9816,CUST_1184,49373.73,NetBanking,card_expired,173832.32,15,2,0.83,23,1,inactive,0,1,1,0.7852656360303301,38771.49349163979,HIGH
TXN_3418,CUST_2299,44811.17,NetBanking,network_error,172451.29,12,4,0.16,6,4,active,1,2,1,0.8645695465651744,38742.372927954944,HIGH
TXN_7535,CUST_1862,45387.54,NetBanking,network_error,180881.88,24,7,0.92,0,14,inactive,1,1,1,0.85335766675802,38731.80523428631,HIGH
TXN_3345,CUST_1836,44977.04,UPI,network_error,194015.19,22,0,0.63,13,74,active,0,2,1,0.8609322527575506,38722.184369566465,HIGH
TXN_7166,CUST_1745,44149.42,Card,network_error,21123.29,14,0,0.85,2,82,inactive,1,1,1,0.8758016092580969,38666.133083811605,HIGH
TXN_5339,CUST_2235,46888.92,Wallet,network_error,43161.44,22,4,0.26,9,82,inactive,0,1,1,0.8240845731375517,38640.43562308081,HIGH
TXN_7853,CUST_1281,49870.27,NetBanking,network_error,7912.82,29,8,0.84,21,84,inactive,1,2,1,0.7742252261344269,38610.82106813492,HIGH
TXN_2949,CUST_2374,49600.65,NetBanking,network_error,37395.86,14,5,0.47,22,33,active,1,3,1,0.7781831244222316,38598.38879037356,HIGH
TXN_7304,CUST_1501,44553.48,NetBanking,network_error,198807.8,23,0,0.42,3,55,inactive,1,4,1,0.8645240150093884,38517.553412240486,HIGH
TXN_4938,CUST_2434,48552.51,NetBanking,insufficient_funds,127511.62,23,5,0.96,13,10,inactive,1,2,1,0.7926491393683343,38485.10526567244,HIGH
TXN_1274,CUST_2426,41724.79,Wallet,network_error,24476.52,27,1,0.05,11,79,active,0,1,1,0.9220183773558388,38471.02317131313,HIGH
TXN_3298,CUST_2904,47749.9,Card,insufficient_funds,191822.02,15,1,0.84,3,35,not_applicable,1,2,1,0.8052789544952413,38451.98954925233,HIGH
TXN_9958,CUST_2772,49680.14,Wallet,bank_declined,62967.24,21,0,0.88,9,72,inactive,0,1,1,0.773984310700009,38451.64891337994,HIGH
TXN_1234,CUST_1447,48081.38,Card,network_error,89525.63,22,8,0.49,5,76,inactive,0,2,1,0.7992910562062844,38431.01700405571,HIGH
TXN_4778,CUST_1708,49079.43,UPI,network_error,125335.18,13,7,0.5,3,32,not_applicable,1,1,1,0.7829853113449542,38428.472779182885,HIGH
TXN_5888,CUST_2815,49129.76,Wallet,network_error,90514.83,2,0,0.85,15,50,inactive,1,2,1,0.7820523720156258,38422.04534455841,HIGH
TXN_5285,CUST_2876,48611.95,NetBanking,network_error,123437.81,22,3,0.16,20,13,not_applicable,1,4,1,0.7902472493885334,38415.45977491292,HIGH
TXN_9833,CUST_1115,48068.49,NetBanking,card_expired,189532.22,1,4,0.71,8,28,active,1,2,1,0.7984481983144834,38380.19923619776,HIGH
TXN_6648,CUST_1146,45080.77,NetBanking,insufficient_funds,22153.13,24,0,0.89,18,48,inactive,0,2,1,0.8512264338854759,38373.94308391134,HIGH
TXN_6067,CUST_2292,45451.68,NetBanking,card_expired,92055.86,14,3,0.99,6,84,not_applicable,1,0,1,0.8438457303552314,38354.206105472265,HIGH
TXN_9354,CUST_1344,48589.47,Wallet,customer_abandoned,197983.74,24,0,0.41,14,66,not_applicable,1,0,1,0.7880942872527844,38293.08372764055,HIGH
TXN_2855,CUST_1744,46284.66,NetBanking,bank_declined,75765.46,15,0,0.76,17,86,not_applicable,0,1,1,0.8263682334368307,38248.17271942434,HIGH
TXN_3229,CUST_1653,49807.73,UPI,bank_declined,24192.38,23,0,0.85,19,22,not_applicable,1,3,1,0.7675801775973413,38231.426239120425,HIGH
TXN_8530,CUST_2348,47311.36,Card,network_error,60031.62,21,4,0.21,7,36,active,1,0,0,0.8077370247941633,38215.13716536559,HIGH
TXN_5183,CUST_2417,49238.61,NetBanking,network_error,100953.75,25,5,0.95,4,47,inactive,0,3,1,0.7742599713432373,38123.48476758084,HIGH
TXN_7894,CUST_1593,47832.28,UPI,bank_declined,28115.47,3,1,0.97,17,29,active,1,0,1,0.7967266932166082,38109.2542734109,HIGH
TXN_6119,CUST_2359,42166.42,UPI,network_error,35858.14,23,2,0.9,11,37,not_applicable,0,0,1,0.9028316278680039,38069.177609965955,HIGH
TXN_9112,CUST_2970,42799.26,UPI,network_error,150257.47,18,2,0.57,12,2,active,1,2,1,0.889476698343029,38068.94447632487,HIGH
TXN_2014,CUST_1094,48017.29,Card,card_expired,138940.7,20,5,0.8,19,15,active,0,2,1,0.7925675856341057,38056.94760399269,HIGH
TXN_8742,CUST_1304,49962.1,Card,card_expired,190631.51,2,1,0.72,7,89,not_applicable,1,4,1,0.7615629473834532,38049.28413346683,HIGH
TXN_9967,CUST_1126,46421.15,Wallet,customer_abandoned,30912.9,13,6,0.8,8,62,active,0,2,1,0.8195134477283346,38042.75668401418,HIGH
TXN_4143,CUST_1381,49826.45,UPI,network_error,60465.23,20,5,0.32,13,0,not_applicable,1,1,1,0.7631585265672414,38025.48016607632,HIGH
TXN_710,CUST_2137,49663.43,Wallet,bank_declined,9937.35,26,6,0.76,4,36,not_applicable,0,1,1,0.7656406084835554,38024.33876458046,HIGH
TXN_7993,CUST_2447,44538.03,Wallet,insufficient_funds,91461.14,10,5,0.86,10,3,active,0,1,1,0.8534401204467364,38010.54168766036,HIGH
TXN_9001,CUST_2320,45837.96,Wallet,network_error,190092.51,24,3,0.0,18,38,active,0,4,1,0.828412584385666,37972.74290656678,HIGH
TXN_4228,CUST_2454,44890.94,NetBanking,authentication_failed,8552.0,16,0,0.95,10,12,active,0,1,1,0.8451872321652507,37941.249327896345,HIGH
TXN_6227,CUST_1503,44639.93,Wallet,authentication_failed,154056.65,20,0,1.0,16,8,active,0,1,1,0.8491900794038655,37907.785701283,HIGH
TXN_3673,CUST_1482,47716.14,UPI,network_error,74915.36,6,4,0.83,13,88,active,1,4,1,0.7939216197451374,37882.87515678574,HIGH
TXN_4296,CUST_1892,48767.45,Wallet,network_error,128760.7,11,4,0.46,17,9,not_applicable,0,3,1,0.7764349923714066,37864.75466872295,HIGH
TXN_143,CUST_2223,45217.52,NetBanking,network_error,70302.84,16,6,0.51,3,89,active,0,3,1,0.8366921404404111,37833.1435942071,HIGH
TXN_6983,CUST_2807,46521.77,Wallet,network_error,57790.32,23,6,0.47,18,48,active,1,1,1,0.8122053214896765,37785.22915911878,HIGH
TXN_4469,CUST_1149,47648.19,Wallet,authentication_failed,56591.91,28,8,0.73,6,83,not_applicable,1,0,1,0.7928445935042346,37777.60983176254,HIGH
TXN_5220,CUST_2360,46621.4,Wallet,bank_declined,61505.01,18,3,0.94,2,57,inactive,1,0,1,0.8099464394090775,37760.83693026637,HIGH
TXN_9211,CUST_2548,45453.35,Wallet,bank_declined,33156.2,11,1,0.82,10,84,inactive,0,1,1,0.8306926996999684,37757.766021907555,HIGH
TXN_2370,CUST_2760,48944.92,NetBanking,network_error,176170.1,15,3,0.28,10,56,inactive,0,1,1,0.7707447978602421,37724.042471685716,HIGH
TXN_8721,CUST_2241,43711.88,Card,card_expired,197285.28,11,2,0.82,9,21,active,1,2,1,0.8622586401462254,37690.946207034984,HIGH
TXN_4867,CUST_2868,42639.76,NetBanking,network_error,57131.46,30,7,0.89,13,33,active,0,1,1,0.8833192263656009,37664.5198156149,HIGH
TXN_1205,CUST_2521,45469.19,Card,network_error,164105.35,19,0,0.89,7,50,active,0,3,1,0.8275389019036524,37627.52356304853,HIGH
TXN_5338,CUST_1101,41938.37,UPI,network_error,111942.25,29,4,0.19,23,29,active,0,1,1,0.8968724292236122,37613.367779578664,HIGH
TXN_9579,CUST_1041,43431.3,NetBanking,network_error,12178.39,25,4,0.12,5,0,inactive,0,0,1,0.8648590865592624,37561.95444608129,HIGH
TXN_9590,CUST_2680,47205.16,NetBanking,network_error,59448.63,20,1,0.07,13,81,not_applicable,0,3,1,0.7956964095248925,37560.976323048075,HIGH
TXN_2443,CUST_1360,49302.79,Wallet,customer_abandoned,36904.34,10,4,0.77,18,82,inactive,0,1,1,0.7613844014949224,37538.37525617985,HIGH
TXN_4571,CUST_2629,47634.04,Wallet,network_error,53557.97,14,6,0.09,2,74,inactive,0,2,1,0.787526595144108,37513.07333415825,HIGH
TXN_4629,CUST_2515,45049.02,NetBanking,network_error,181399.6,28,5,0.82,7,88,not_applicable,1,0,1,0.8316743045856531,37466.112380765175,HIGH
TXN_4889,CUST_1963,44001.78,Wallet,customer_abandoned,89488.83,20,2,0.93,1,12,active,0,2,1,0.8505293796863005,37424.80664849306,HIGH
TXN_7647,CUST_1000,46472.83,Wallet,network_error,96777.43,16,4,0.75,4,43,active,0,4,1,0.8053028106290252,37424.70061688488,HIGH
TXN_2299,CUST_1142,46699.55,UPI,customer_abandoned,162147.92,25,0,0.84,18,5,not_applicable,1,0,1,0.80095970707794,37404.45788867161,HIGH
TXN_9739,CUST_2714,41525.31,Card,network_error,23653.08,23,2,0.88,14,70,active,1,1,1,0.9006589740317925,37400.14310095213,HIGH
TXN_21,CUST_1817,43168.86,NetBanking,network_error,125036.33,28,8,0.33,14,15,active,0,0,1,0.8658724553074386,37378.72680102308,HIGH
TXN_5494,CUST_2606,48500.61,Wallet,insufficient_funds,197523.21,5,2,0.64,11,21,inactive,1,1,1,0.7703139471645247,37360.69632898722,HIGH
TXN_8861,CUST_2439,42315.77,UPI,network_error,171330.95,20,3,0.65,23,23,active,0,1,1,0.8826500991754981,37350.018587187566,HIGH
TXN_3049,CUST_2896,47068.83,UPI,network_error,118170.11,29,8,0.31,1,9,not_applicable,0,1,1,0.793190087144374,37334.529369483724,HIGH
TXN_4113,CUST_1563,45342.77,Wallet,bank_declined,82312.39,27,5,0.85,20,4,not_applicable,0,2,1,0.8233321395207427,37332.15983589694,HIGH
TXN_4679,CUST_2497,48372.56,NetBanking,card_expired,162410.59,24,8,0.08,9,8,active,1,0,1,0.7705173582561724,37271.897143288195,HIGH
TXN_8021,CUST_2896,42321.37,NetBanking,network_error,197635.4,22,3,0.7,23,22,active,1,0,1,0.8790165123109843,37201.18305362273,HIGH
TXN_2663,CUST_2364,49630.23,Wallet,insufficient_funds,136199.3,12,7,0.94,21,87,inactive,0,3,1,0.7492674049496059,37186.31363915208,HIGH
TXN_8989,CUST_2141,49049.53,Wallet,network_error,155901.16,21,7,0.86,2,52,inactive,0,4,1,0.7578824377115922,37173.777365007874,HIGH
TXN_9650,CUST_2703,39799.89,NetBanking,network_error,82871.35,19,1,0.98,21,56,active,0,2,1,0.9339626976463535,37171.61263042813,HIGH
TXN_3251,CUST_1297,48718.45,NetBanking,authentication_failed,4417.43,26,3,0.95,12,38,inactive,0,1,1,0.7627738443842422,37161.15939894148,HIGH
TXN_6669,CUST_2898,47813.61,Card,card_expired,153053.27,13,5,0.97,19,34,active,1,1,1,0.7768696077812333,37144.940447304856,HIGH
TXN_813,CUST_2594,43539.3,Wallet,network_error,126652.37,10,2,0.53,3,27,active,0,1,1,0.8523351755148357,37110.07690729309,HIGH
TXN_6018,CUST_1719,47142.99,Wallet,customer_abandoned,101072.22,18,6,0.97,20,39,active,0,1,1,0.7863751488358843,37072.0757778186,HIGH
TXN_9213,CUST_2985,49017.19,UPI,authentication_failed,133626.75,2,7,0.9,15,89,active,0,4,1,0.7555487929897651,37034.87874024999,HIGH
TXN_3356,CUST_2778,46680.29,UPI,customer_abandoned,44805.75,12,3,0.84,10,65,inactive,0,0,1,0.792934949581301,37014.43339759051,HIGH
TXN_8401,CUST_2661,48916.95,Wallet,customer_abandoned,177810.09,17,2,0.81,1,6,active,0,3,1,0.7557344521637711,36968.22440977258,HIGH
TXN_2952,CUST_2233,49741.17,UPI,authentication_failed,23842.47,18,4,0.73,11,65,not_applicable,1,1,1,0.7430688871279999,36961.11583634465,HIGH
TXN_61,CUST_2720,47028.88,NetBanking,authentication_failed,190831.79,15,3,0.91,8,56,active,1,1,1,0.7858168634815058,36956.08697464812,HIGH
TXN_296,CUST_2927,48153.3,Wallet,network_error,69032.56,5,6,0.63,2,79,inactive,0,0,1,0.7671159070623346,36939.16240754472,HIGH
TXN_4664,CUST_2858,47829.79,Wallet,authentication_failed,155599.32,29,8,0.79,2,44,inactive,1,0,1,0.7719335851743299,36921.42127283531,HIGH
TXN_1807,CUST_2712,44764.75,Card,customer_abandoned,194438.64,29,2,0.86,15,78,not_applicable,1,1,1,0.8243334161516163,36901.079290673064,HIGH
TXN_685,CUST_2853,49567.26,Card,card_expired,109351.98,10,7,0.96,23,67,inactive,1,1,1,0.7437572178324353,36866.00739317696,HIGH
