transaction_id,customer_id,amount,payment_method,failure_reason,customer_lifetime_value,successful_payments,failed_payments,previous_recovery_rate,hour_of_day,days_since_last_payment,subscription_status,checkout_abandoned,retry_count,recovered
TXN_62,CUST_1556,871.29,NetBanking,bank_declined,185735.39,28,8,0.43,2,17,active,0,3,1
TXN_63,CUST_2421,48184.64,Card,customer_abandoned,170748.88,6,1,0.29,13,52,inactive,1,3,0
TXN_64,CUST_1127,42571.72,Card,network_error,64067.48,12,0,0.17,18,48,inactive,0,2,1
TXN_65,CUST_1611,46814.12,Wallet,network_error,139509.93,17,8,0.57,19,28,inactive,0,2,1
TXN_66,CUST_1892,30788.86,Wallet,insufficient_funds,198020.72,12,5,0.14,21,86,inactive,0,3,0
TXN_67,CUST_2883,43880.92,Card,authentication_failed,148412.95,17,0,0.7,12,75,not_applicable,0,0,0
TXN_68,CUST_2316,18038.61,Wallet,card_expired,59424.78,27,7,0.81,5,6,inactive,1,2,0
TXN_69,CUST_1433,43366.91,Wallet,bank_declined,182734.87,10,6,0.51,8,53,inactive,0,3,0
TXN_70,CUST_1039,39934.93,UPI,bank_declined,130342.82,7,1,0.7,20,5,active,0,1,0
TXN_71,CUST_2718,44511.27,UPI,authentication_failed,68261.04,4,3,0.38,4,60,not_applicable,0,4,0
TXN_72,CUST_2941,28956.18,Card,network_error,8152.51,22,4,0.47,11,21,not_applicable,0,1,1
TXN_73,CUST_2975,14398.41,NetBanking,insufficient_funds,118575.82,18,0,0.03,9,73,not_applicable,1,3,0
TXN_74,CUST_2928,41147.77,Card,insufficient_funds,72677.94,18,3,0.13,3,89,inactive,0,4,0
TXN_75,CUST_2602,38522.68,UPI,bank_declined,43948.38,17,6,0.62,21,47,active,1,0,1
TXN_76,CUST_2739,2678.92,Wallet,network_error,106739.57,3,6,0.54,11,81,inactive,0,3,0
TXN_77,CUST_1360,36331.96,NetBanking,authentication_failed,195194.56,25,8,0.52,15,59,inactive,1,2,0
TXN_78,CUST_2744,39779.79,Card,insufficient_funds,54895.62,8,7,0.44,7,59,not_applicable,1,2,0
TXN_79,CUST_1058,1365.0,Wallet,bank_declined,192567.03,5,7,0.84,6,45,inactive,1,2,1
TXN_80,CUST_2802,20506.75,NetBanking,authentication_failed,35485.57,0,8,0.16,6,10,active,1,3,0
TXN_81,CUST_2137,27506.41,Card,customer_abandoned,143204.59,15,7,0.66,14,2,active,1,1,0
TXN_82,CUST_1828,47747.78,Card,bank_declined,147841.49,21,5,0.55,15,70,not_applicable,1,3,0
TXN_83,CUST_2527,21038.04,NetBanking,bank_declined,50298.47,22,7,0.36,8,39,inactive,0,0,1
TXN_84,CUST_2477,818.24,Card,bank_declined,24098.46,3,8,0.05,22,23,active,0,3,0
TXN_85,CUST_1566,42787.48,NetBanking,insufficient_funds,141027.91,26,3,0.47,9,29,inactive,0,2,1
TXN_86,CUST_1028,24631.63,Card,bank_declined,95220.88,1,0,0.17,17,37,not_applicable,0,3,0
TXN_87,CUST_1210,19985.39,UPI,authentication_failed,123554.17,9,7,0.64,15,56,inactive,0,0,0
TXN_88,CUST_1517,18793.17,Wallet,insufficient_funds,125546.12,26,1,0.5,12,62,active,0,1,0
TXN_89,CUST_1305,32968.81,NetBanking,insufficient_funds,33423.95,7,1,0.07,17,53,not_applicable,0,4,0
TXN_90,CUST_1779,1422.91,Wallet,network_error,117569.34,9,6,0.94,9,72,not_applicable,0,4,0
TXN_91,CUST_2966,19469.68,UPI,card_expired,129014.36,20,3,0.46,8,84,active,0,1,1
TXN_92,CUST_1355,47079.09,UPI,card_expired,77834.42,0,6,0.96,14,88,not_applicable,1,2,1
TXN_93,CUST_1066,9869.98,Card,bank_declined,14802.9,22,4,0.1,22,58,active,0,2,1
TXN_94,CUST_2613,4812.7,Card,network_error,136918.35,3,8,0.07,7,82,active,1,1,1
TXN_95,CUST_1146,42259.28,UPI,card_expired,5631.12,25,4,0.81,19,72,inactive,1,0,1
TXN_96,CUST_1959,5996.42,NetBanking,customer_abandoned,139650.7,12,4,0.63,16,69,inactive,1,0,0
TXN_97,CUST_2224,36780.05,UPI,network_error,160892.71,23,5,0.28,19,32,active,0,1,1
TXN_98,CUST_2969,37555.68,UPI,customer_abandoned,161560.11,26,4,0.99,18,5,active,1,4,1
TXN_99,CUST_2334,18663.7,Wallet,bank_declined,155506.18,5,6,0.34,20,62,active,1,2,1
TXN_100,CUST_1836,42934.8,NetBanking,bank_declined,86369.81,21,1,0.75,5,42,inactive,1,2,0
TXN_101,CUST_2356,5245.88,Wallet,authentication_failed,180608.03,1,7,0.51,2,40,inactive,1,0,1
TXN_102,CUST_2986,16070.48,Wallet,authentication_failed,179209.12,26,0,0.39,21,69,inactive,1,0,0
TXN_103,CUST_1384,45278.56,NetBanking,authentication_failed,19166.05,24,7,0.32,20,56,active,0,2,1
TXN_104,CUST_2124,47535.3,Card,bank_declined,115114.14,14,7,0.63,3,3,not_applicable,0,1,0
TXN_105,CUST_1636,14731.22,UPI,authentication_failed,66404.24,13,1,0.67,7,14,inactive,0,1,1
TXN_106,CUST_2020,39599.79,NetBanking,authentication_failed,158134.01,22,4,0.09,13,61,inactive,0,3,0
TXN_107,CUST_2128,2972.18,Card,network_error,110356.25,6,8,0.44,23,17,active,1,3,1
TXN_108,CUST_1696,17610.66,NetBanking,insufficient_funds,24296.34,9,4,0.14,18,74,not_applicable,1,1,1
TXN_109,CUST_1914,30949.08,Wallet,bank_declined,21123.41,10,8,0.08,17,48,inactive,1,1,1
TXN_110,CUST_2428,3730.87,Card,authentication_failed,164550.15,12,3,0.71,13,5,inactive,1,3,0
TXN_111,CUST_1790,4333.4,Card,network_error,197341.28,30,0,0.37,4,64,not_applicable,1,0,1
TXN_112,CUST_2790,40658.7,Wallet,insufficient_funds,189502.47,16,7,0.99,0,18,inactive,0,0,0
TXN_113,CUST_1961,18875.35,NetBanking,bank_declined,17616.64,19,6,0.78,20,10,inactive,1,2,1
TXN_114,CUST_2283,21268.68,Wallet,authentication_failed,181364.52,1,1,0.11,7,80,not_applicable,1,1,0
TXN_115,CUST_2529,666.55,UPI,network_error,94263.47,3,1,0.06,14,21,not_applicable,1,0,1
TXN_116,CUST_1094,5964.56,NetBanking,insufficient_funds,130192.85,9,5,0.75,11,55,active,0,4,0
TXN_117,CUST_1843,48112.41,Card,card_expired,75599.25,5,1,0.29,19,48,not_applicable,0,3,1
TXN_118,CUST_2869,11257.43,Card,card_expired,192681.29,14,4,0.01,14,32,not_applicable,0,3,1
TXN_119,CUST_2845,2253.68,NetBanking,customer_abandoned,178337.48,17,2,0.53,2,56,inactive,1,3,1
TXN_120,CUST_2413,3782.45,NetBanking,network_error,111217.0,27,4,0.97,6,49,inactive,0,1,1
TXN_121,CUST_1781,31506.99,NetBanking,authentication_failed,139453.99,9,4,0.45,0,84,inactive,1,0,0
TXN_122,CUST_2159,29257.28,UPI,authentication_failed,180330.44,23,7,0.05,9,29,not_applicable,1,1,0
TXN_123,CUST_2303,47525.53,Card,authentication_failed,178162.49,8,2,0.46,20,12,not_applicable,0,2,0
TXN_124,CUST_2615,13941.32,Wallet,insufficient_funds,38436.11,18,5,0.46,23,16,active,1,2,1
TXN_125,CUST_2530,29224.44,Wallet,card_expired,16469.19,6,2,0.97,17,46,not_applicable,1,1,0
TXN_126,CUST_1526,34938.27,Wallet,bank_declined,107683.18,23,5,0.31,3,59,active,0,1,0
TXN_127,CUST_2761,34268.09,Wallet,authentication_failed,33360.77,11,1,0.91,12,1,inactive,0,3,1
TXN_128,CUST_1754,47495.02,NetBanking,authentication_failed,145418.18,12,5,0.61,3,86,active,1,0,0
TXN_129,CUST_2268,46643.15,NetBanking,authentication_failed,173346.71,7,1,0.05,20,59,not_applicable,1,3,0
TXN_130,CUST_1238,18885.52,Card,insufficient_funds,162300.11,30,0,0.99,9,63,active,0,1,1
TXN_131,CUST_2817,29747.12,Card,network_error,76797.28,14,5,0.97,21,89,not_applicable,1,4,0
TXN_132,CUST_2520,41932.6,Card,network_error,94269.94,20,1,0.41,15,78,inactive,1,0,1
TXN_133,CUST_2413,2913.14,NetBanking,card_expired,173079.75,14,7,0.81,7,46,active,1,4,1
TXN_134,CUST_2846,49832.18,NetBanking,insufficient_funds,111530.91,12,4,0.77,6,15,inactive,0,1,0
TXN_135,CUST_2314,42497.4,UPI,insufficient_funds,50222.27,25,5,0.45,7,16,not_applicable,0,0,0
TXN_136,CUST_2699,47707.15,Card,authentication_failed,121628.75,6,3,0.23,10,18,not_applicable,0,2,1
TXN_137,CUST_2758,30944.6,Card,card_expired,72274.38,17,4,0.11,5,14,not_applicable,0,1,0
TXN_138,CUST_1030,26063.35,NetBanking,card_expired,154691.36,18,5,0.52,0,22,inactive,0,1,1
TXN_139,CUST_2519,27640.15,Wallet,authentication_failed,112626.66,3,1,0.88,15,57,inactive,0,3,0
TXN_140,CUST_2031,6787.36,Card,authentication_failed,6727.75,1,8,0.76,9,58,not_applicable,0,0,0
TXN_141,CUST_1980,35233.58,Wallet,network_error,43379.87,21,1,0.14,15,56,active,0,2,1
TXN_142,CUST_2245,17594.32,Card,insufficient_funds,118393.62,4,4,0.39,19,81,not_applicable,1,3,0
TXN_143,CUST_2223,45217.52,NetBanking,network_error,70302.84,16,6,0.51,3,89,active,0,3,1
TXN_144,CUST_1924,19887.48,Card,network_error,124795.25,10,7,0.86,12,53,not_applicable,0,2,0
TXN_145,CUST_1874,7438.97,NetBanking,customer_abandoned,185390.94,8,5,0.49,4,87,inactive,0,0,0
TXN_146,CUST_2703,23010.87,UPI,insufficient_funds,196026.48,13,1,0.49,23,47,active,0,4,1
TXN_147,CUST_2959,31706.7,NetBanking,customer_abandoned,48788.98,3,6,0.08,11,85,inactive,0,2,0
TXN_148,CUST_2229,6489.49,NetBanking,bank_declined,31228.64,3,8,0.14,6,19,not_applicable,1,1,0
TXN_149,CUST_2735,9175.82,UPI,bank_declined,69787.79,27,8,0.9,11,14,inactive,0,3,0
TXN_150,CUST_2730,33411.13,UPI,authentication_failed,35291.65,29,4,0.19,0,23,inactive,1,2,0
TXN_151,CUST_1718,8529.86,UPI,card_expired,56439.48,27,2,0.18,18,84,inactive,0,1,1
TXN_152,CUST_2517,6119.73,UPI,insufficient_funds,92694.97,23,8,0.21,6,48,inactive,1,2,0
TXN_153,CUST_1322,25220.52,NetBanking,bank_declined,138388.57,23,5,0.04,18,76,active,0,1,0
TXN_154,CUST_1322,31432.23,UPI,customer_abandoned,17270.05,2,4,0.87,14,84,inactive,1,4,1
TXN_155,CUST_1905,3147.79,Wallet,bank_declined,56098.65,6,8,0.81,3,44,inactive,0,2,1
TXN_156,CUST_2388,9307.6,Wallet,authentication_failed,42660.52,21,4,0.37,1,28,inactive,0,0,0
TXN_157,CUST_1418,30950.91,NetBanking,card_expired,74413.81,24,2,0.46,8,37,inactive,0,0,0
TXN_158,CUST_2018,1930.49,Wallet,card_expired,51234.95,4,6,0.71,17,90,active,1,0,1
TXN_159,CUST_1813,25632.7,UPI,network_error,106890.58,0,7,0.11,2,40,not_applicable,1,4,0
TXN_160,CUST_1828,26677.6,Wallet,bank_declined,49251.63,3,6,0.27,0,41,active,1,2,0
TXN_161,CUST_1180,1101.55,Wallet,insufficient_funds,65093.75,7,6,0.21,18,51,not_applicable,0,3,0
TXN_162,CUST_2782,6076.13,NetBanking,customer_abandoned,178214.93,10,3,0.59,10,21,active,0,4,1
TXN_163,CUST_2044,39479.64,Card,bank_declined,100190.0,11,2,0.09,7,13,active,1,1,1
TXN_164,CUST_1355,29383.37,Card,customer_abandoned,149342.46,2,2,0.43,20,63,inactive,1,4,0
TXN_165,CUST_2316,14260.42,NetBanking,customer_abandoned,73253.38,10,2,0.65,14,8,inactive,1,2,0
TXN_166,CUST_2630,17869.23,NetBanking,authentication_failed,197316.53,1,5,0.61,16,9,inactive,1,3,0
TXN_167,CUST_1077,5178.95,UPI,bank_declined,31418.97,26,4,0.25,2,82,active,1,3,0
TXN_168,CUST_2188,9409.69,UPI,network_error,57733.94,29,3,0.17,10,77,inactive,0,0,0
TXN_169,CUST_1922,4103.66,UPI,bank_declined,105377.77,22,1,0.41,16,82,active,0,1,0
TXN_170,CUST_2449,5690.74,Wallet,network_error,80173.26,16,8,0.97,19,20,inactive,1,2,0
TXN_171,CUST_1793,40871.9,Wallet,bank_declined,52322.66,21,0,0.17,20,82,inactive,0,2,0
TXN_172,CUST_1193,46475.86,Wallet,bank_declined,111795.82,8,2,0.57,10,10,not_applicable,0,2,0
TXN_173,CUST_1635,38497.7,Wallet,card_expired,38221.71,19,1,0.32,9,71,inactive,1,1,1
TXN_174,CUST_2372,25429.76,UPI,customer_abandoned,49239.54,21,6,0.11,16,46,active,1,2,1
TXN_175,CUST_1369,14502.66,Card,bank_declined,116666.41,30,7,0.15,6,28,active,0,0,1
TXN_176,CUST_1605,26676.21,UPI,authentication_failed,11312.88,24,8,0.34,23,67,active,1,4,0
TXN_177,CUST_1268,3262.41,Wallet,card_expired,198002.09,5,2,0.32,22,79,active,1,0,1
TXN_178,CUST_1841,12806.57,NetBanking,customer_abandoned,136619.04,23,3,0.76,14,78,inactive,1,1,1
TXN_179,CUST_2093,23631.65,Card,bank_declined,82956.34,30,7,0.35,6,47,not_applicable,1,3,1
TXN_180,CUST_2575,41547.91,NetBanking,network_error,193040.36,16,8,0.12,13,20,active,0,2,0
TXN_181,CUST_1106,46923.19,Wallet,bank_declined,37065.38,17,1,0.07,22,66,active,1,0,0
TXN_182,CUST_2562,28766.21,Card,bank_declined,168523.93,14,8,0.14,4,55,active,0,3,1
TXN_183,CUST_2811,10161.2,NetBanking,insufficient_funds,33567.53,13,0,0.16,12,64,inactive,0,3,1
TXN_184,CUST_1167,33293.34,NetBanking,card_expired,105090.02,0,5,0.36,3,83,inactive,0,1,1
TXN_185,CUST_1078,19683.01,NetBanking,network_error,163503.29,22,2,0.44,22,60,inactive,0,0,1
TXN_186,CUST_1038,23187.72,NetBanking,card_expired,60974.2,26,2,0.75,17,77,not_applicable,1,0,1
TXN_187,CUST_2589,11687.41,NetBanking,card_expired,180015.34,9,1,0.38,1,30,inactive,1,0,0
TXN_188,CUST_1227,45332.96,Wallet,authentication_failed,125223.36,17,0,0.12,20,65,not_applicable,0,1,1
TXN_189,CUST_1596,31422.63,Wallet,insufficient_funds,67646.22,19,5,0.14,7,73,inactive,0,0,1
TXN_190,CUST_2072,31041.63,NetBanking,insufficient_funds,107158.76,30,8,0.89,17,64,not_applicable,0,3,1
TXN_191,CUST_2788,7668.58,Wallet,insufficient_funds,63032.69,20,6,0.25,11,32,not_applicable,0,2,1
TXN_192,CUST_2614,1773.27,UPI,bank_declined,114408.05,7,1,0.76,18,42,active,0,2,0
TXN_193,CUST_2118,17169.88,NetBanking,customer_abandoned,164430.2,5,7,0.11,22,61,not_applicable,0,1,1
TXN_194,CUST_1129,6461.68,Wallet,insufficient_funds,80060.17,9,3,0.8,1,25,active,1,2,1
TXN_195,CUST_2055,11539.64,Wallet,authentication_failed,144728.26,15,4,0.72,1,82,active,1,2,1
TXN_196,CUST_2765,34728.03,UPI,customer_abandoned,109002.16,10,4,0.25,3,47,inactive,1,3,0
TXN_197,CUST_2832,9161.73,Wallet,bank_declined,181781.66,5,7,0.58,22,63,inactive,1,0,0
TXN_198,CUST_2489,23154.09,Wallet,insufficient_funds,189509.38,13,2,0.15,17,37,inactive,0,0,1
TXN_199,CUST_1671,25343.85,NetBanking,bank_declined,122679.39,14,6,0.02,5,88,inactive,1,3,1
TXN_200,CUST_1086,46612.7,NetBanking,authentication_failed,113461.5,13,4,0.7,20,7,active,1,2,0
TXN_201,CUST_2050,35391.21,Card,insufficient_funds,31355.27,4,7,0.58,1,16,active,0,2,1
TXN_202,CUST_1741,21264.12,Wallet,authentication_failed,147552.4,1,2,0.93,21,57,inactive,1,3,1
TXN_203,CUST_2562,22596.88,UPI,authentication_failed,23534.37,4,8,0.98,11,50,inactive,1,1,1
TXN_204,CUST_2967,6320.67,UPI,insufficient_funds,184247.53,23,2,0.87,15,66,inactive,0,2,1
TXN_205,CUST_2587,29604.64,NetBanking,customer_abandoned,80401.54,14,3,0.05,19,36,not_applicable,1,1,1
TXN_206,CUST_1251,40162.39,Card,insufficient_funds,1921.77,14,2,0.33,22,56,active,1,2,1
TXN_207,CUST_2453,26916.04,UPI,authentication_failed,184051.27,17,4,0.35,9,20,not_applicable,0,2,0
TXN_208,CUST_2041,36901.31,Card,insufficient_funds,90991.37,6,2,0.22,7,63,active,1,4,0
TXN_209,CUST_2172,7128.77,NetBanking,network_error,36101.01,25,8,0.5,4,78,active,0,2,1
TXN_210,CUST_1815,45750.81,Wallet,authentication_failed,73116.39,13,6,0.58,18,9,active,1,0,1
TXN_211,CUST_1921,753.41,Wallet,customer_abandoned,133043.94,16,5,0.18,4,70,not_applicable,0,1,1
TXN_212,CUST_1886,7518.27,UPI,insufficient_funds,83510.2,16,2,0.09,9,21,active,1,1,0
TXN_213,CUST_1708,25159.53,NetBanking,insufficient_funds,119481.62,8,3,0.07,20,70,inactive,0,2,1
TXN_214,CUST_2258,10574.29,UPI,authentication_failed,179712.8,20,2,0.21,18,74,active,0,4,0
TXN_215,CUST_2475,1923.83,NetBanking,authentication_failed,94941.32,1,0,0.56,2,5,not_applicable,1,1,0
TXN_216,CUST_2570,38798.83,Wallet,authentication_failed,91204.48,20,0,0.52,15,80,not_applicable,1,2,0
TXN_217,CUST_1989,20098.08,Card,customer_abandoned,112368.43,12,4,0.16,14,9,not_applicable,0,1,1
TXN_218,CUST_1900,43103.1,Wallet,network_error,189276.98,14,3,0.37,10,77,active,1,2,1
TXN_219,CUST_2503,32235.58,NetBanking,network_error,82338.1,4,5,0.03,16,71,active,1,1,1
TXN_220,CUST_1955,35827.01,UPI,bank_declined,132125.86,14,3,0.03,4,12,active,1,3,0
TXN_221,CUST_2769,11630.63,Wallet,card_expired,134706.66,30,2,0.02,10,73,not_applicable,1,1,1
TXN_222,CUST_2562,40015.81,Card,network_error,36530.39,16,7,0.65,15,39,inactive,0,0,1
TXN_223,CUST_2935,5062.13,Wallet,authentication_failed,49391.27,14,3,0.72,6,74,inactive,0,0,0
TXN_224,CUST_1576,41527.97,Wallet,authentication_failed,80039.52,28,7,0.67,9,68,active,0,3,0
TXN_225,CUST_1274,14728.07,NetBanking,customer_abandoned,179370.83,11,6,0.01,11,5,inactive,0,4,0
TXN_226,CUST_2150,10473.52,Card,bank_declined,6279.91,17,4,0.18,2,49,not_applicable,1,4,0
TXN_227,CUST_1572,21129.09,UPI,card_expired,178641.67,3,6,0.82,11,43,not_applicable,1,1,0
TXN_228,CUST_1407,13045.23,Wallet,authentication_failed,76558.79,1,0,0.59,1,17,not_applicable,1,3,0
TXN_229,CUST_2063,31245.03,Wallet,card_expired,82472.92,19,8,0.55,4,41,not_applicable,1,1,0
TXN_230,CUST_1804,14793.84,NetBanking,authentication_failed,189742.21,10,8,0.76,16,68,inactive,1,3,0
TXN_231,CUST_2670,43436.55,UPI,bank_declined,97998.81,10,1,0.89,13,74,inactive,0,4,0
TXN_232,CUST_1971,21318.15,NetBanking,customer_abandoned,5471.39,25,3,0.27,23,6,not_applicable,1,1,1
TXN_233,CUST_2073,31710.56,Wallet,card_expired,52319.65,26,3,0.14,1,73,not_applicable,0,1,0
TXN_234,CUST_1038,49221.67,Wallet,bank_declined,105612.35,13,2,0.17,13,88,active,1,4,0
TXN_235,CUST_2587,1017.69,Wallet,customer_abandoned,182945.46,23,0,0.12,22,17,not_applicable,0,4,0
TXN_236,CUST_1665,13775.36,Wallet,authentication_failed,111281.42,12,5,0.65,5,58,not_applicable,1,4,0
TXN_237,CUST_1725,10400.42,NetBanking,authentication_failed,3188.17,15,3,0.14,7,35,not_applicable,1,1,1
TXN_238,CUST_2928,43707.11,NetBanking,bank_declined,119885.21,22,3,0.6,22,90,inactive,1,3,1
TXN_239,CUST_1714,8851.03,NetBanking,bank_declined,182967.98,3,8,0.42,12,50,inactive,0,2,0
TXN_240,CUST_1086,25993.99,NetBanking,customer_abandoned,10346.23,2,5,0.17,14,83,inactive,1,1,0
TXN_241,CUST_1413,4231.65,NetBanking,authentication_failed,121027.27,22,4,0.25,4,13,not_applicable,0,1,0
TXN_242,CUST_1103,14505.82,Card,customer_abandoned,71778.87,7,0,0.72,3,52,inactive,1,0,1
TXN_243,CUST_2395,28363.59,Card,insufficient_funds,95734.03,30,8,0.66,5,52,not_applicable,1,3,1
TXN_244,CUST_2332,36655.35,Card,bank_declined,43773.14,10,4,0.03,20,7,active,0,4,0
TXN_245,CUST_2512,29794.39,UPI,card_expired,11233.74,13,2,0.5,1,50,inactive,0,2,0
